ID,StationName,Y,X,State,City,Elevation
00001001,AGUASCALIENTES (OBS),2470087.352264646,1092654.0348138632,AGUASCALIENTES,AGUASCALIENTES,1890.8
00001003,CALVILLO (SMN),2426079.6953740628,1096450.765808874,AGUASCALIENTES,CALVILLO,1640.0
00001004,CAÑADA HONDA,2479566.9680830725,1109224.524428412,AGUASCALIENTES,AGUASCALIENTES,1925.0
00001005,PRESA EL NIAGARA,2461753.6240229537,1084991.6681792308,AGUASCALIENTES,AGUASCALIENTES,1844.0
00001006,EL TULE (SMN),2490616.750318423,1118118.364745634,AGUASCALIENTES,ASIENTOS,1960.0
00001007,JESUS MARIA (SMN),2464574.4500859412,1104999.2451327988,AGUASCALIENTES,JESUS MARIA,1880.0
00001008,PUERTO DE LA CONCEPCION,2486151.590699975,1131463.6944419844,AGUASCALIENTES,TEPEZALA,2322.8
00001009,LA LABOR (SMN),2428606.7348609474,1105129.5851244444,AGUASCALIENTES,CALVILLO,1740.0
00001010,LA TINAJA,2443136.94758695,1127344.2226137307,AGUASCALIENTES,SAN JOSE DE GRACIA,2525.7
00001011,MALPASO,2431723.1710391426,1093852.854229267,AGUASCALIENTES,CALVILLO,1730.2
00001012,PRESA MEDIA LUNA,2417513.34816458,1086702.862281734,AGUASCALIENTES,CALVILLO,1588.7
00001013,MESILLAS,2483002.7689634925,1143645.5872221915,AGUASCALIENTES,TEPEZALA,2020.5
00001014,PABELLON CAMPO EXPERIMENTAL,2469958.5743900165,1127540.4299352,AGUASCALIENTES,PABELLON DE ARTEAGA,1933.7
00001015,PALO ALTO,2503141.1403511018,1099907.5905272276,AGUASCALIENTES,EL LLANO,2037.5
00001016,GANADERIA PEÑUELAS,2470942.7233967073,1077258.280651699,AGUASCALIENTES,AGUASCALIENTES,1850.0
00001017,PRESA POTRERILLOS,2454504.3020351366,1134832.3153266888,AGUASCALIENTES,SAN JOSE DE GRACIA,2171.9
00001018,PRESA PLUTARCO ELIAS CALLES,2457380.938782339,1124756.2378880375,AGUASCALIENTES,SAN JOSE DE GRACIA,2053.1
00001019,PRESA JOCOQUE,2463107.3055428294,1123271.941315507,AGUASCALIENTES,PABELLON DE ARTEAGA,2006.2
00001020,PRESA LA CODORNIZ,2430736.946451639,1108914.1205592642,AGUASCALIENTES,CALVILLO,1850.2
