order,Ocean,Record identifier,Datetime,Cyclone name,Y,X,Max sustained wind speed (kt),Min pressure (millibars)
34794,Atlantic,AL011979,11/06/1979 12:00,            UNNAMED,4713327.898169779,762965.6517119405,20,-999
34795,Atlantic,AL011979,11/06/1979 18:00,            UNNAMED,4739978.420640782,800466.0133082572,25,-999
34796,Atlantic,AL011979,12/06/1979 00:00,            UNNAMED,4796193.001527663,853699.5612342127,25,-999
34797,Atlantic,AL011979,12/06/1979 06:00,            UNNAMED,4822453.20310488,891305.5306425836,25,-999
34798,Atlantic,AL011979,12/06/1979 12:00,            UNNAMED,4843414.097349207,961673.7882368898,25,-999
34799,Atlantic,AL011979,12/06/1979 18:00,            UNNAMED,4855502.498353278,1019470.9929634673,30,-999
34800,Atlantic,AL011979,13/06/1979 00:00,            UNNAMED,4867439.074642744,1077242.9348537845,30,-999
34801,Atlantic,AL011979,13/06/1979 06:00,            UNNAMED,4868967.1039204765,1133338.0634080183,30,-999
34802,Atlantic,AL011979,13/06/1979 12:00,            UNNAMED,4870421.575539779,1189406.4039633502,25,-999
34803,Atlantic,AL011979,13/06/1979 18:00,            UNNAMED,4856344.463820864,1276432.2933997442,25,-999
34804,Atlantic,AL011979,14/06/1979 00:00,            UNNAMED,4836995.315667961,1396050.3557882458,25,-999
34805,Atlantic,AL011979,14/06/1979 06:00,            UNNAMED,4822924.545609601,1483037.0405453555,25,-999
34806,Atlantic,AL011979,14/06/1979 12:00,            UNNAMED,4808851.797547364,1570035.9534889034,30,-999
34807,Atlantic,AL011979,14/06/1979 18:00,            UNNAMED,4798294.267907163,1635303.4902915738,30,-999
34808,Atlantic,AL011979,15/06/1979 00:00,            UNNAMED,4784211.361162381,1722365.2050656138,30,-999
34809,Atlantic,AL011979,15/06/1979 06:00,            UNNAMED,4762087.512738617,1797011.9737078638,30,-999
34810,Atlantic,AL011979,15/06/1979 12:00,            UNNAMED,4722306.689126275,1857723.3314712262,30,-999
34811,Atlantic,AL011979,15/06/1979 18:00,            UNNAMED,4677646.309096147,1951352.0202915801,30,-999
34812,Atlantic,AL011979,16/06/1979 00:00,            UNNAMED,4636185.426223358,2090520.964584283,30,-999
34813,Atlantic,AL011979,16/06/1979 06:00,            UNNAMED,4602853.946475917,2242592.0720950854,30,-999
34814,Atlantic,AL011979,16/06/1979 12:00,            UNNAMED,4582440.193403595,2374625.3213812057,30,-999
34815,Atlantic,AL011979,16/06/1979 18:00,            UNNAMED,4539966.730954313,2526378.6465833755,-99,-999
34828,Atlantic,AL021979,22/06/1979 06:00,                ANA,7438011.252657712,1048324.4125925263,40,1005
34829,Atlantic,AL021979,22/06/1979 12:00,                ANA,7324390.605013884,1010886.3670747157,50,1006
34830,Atlantic,AL021979,22/06/1979 18:00,                ANA,7182717.752810964,953864.6231315255,40,1008
34831,Atlantic,AL021979,23/06/1979 00:00,                ANA,7026735.833197238,905704.148945181,35,1010
34832,Atlantic,AL021979,23/06/1979 06:00,                ANA,6873381.2257299265,848471.5919348312,30,1012
34833,Atlantic,AL021979,23/06/1979 12:00,                ANA,6716313.957411782,803552.1198648749,25,1012
34834,Atlantic,AL021979,23/06/1979 18:00,                ANA,6537747.765226364,754632.4642064518,25,1012
34835,Atlantic,AL021979,24/06/1979 00:00,                ANA,6358614.269779369,707832.8006362978,25,1012
34837,Atlantic,AL031979,08/07/1979 12:00,            UNNAMED,5799379.969238641,1302396.6645162834,20,-999
34838,Atlantic,AL031979,08/07/1979 18:00,            UNNAMED,5754454.422117561,1360064.5732684764,25,-999
34839,Atlantic,AL031979,09/07/1979 00:00,            UNNAMED,5684914.226385342,1434885.9556603103,25,-999
34840,Atlantic,AL031979,09/07/1979 06:00,            UNNAMED,5642991.692041131,1482064.4711367984,25,-999
34841,Atlantic,AL031979,09/07/1979 12:00,            UNNAMED,5616545.670151056,1555210.1821883523,25,-999
34842,Atlantic,AL031979,09/07/1979 18:00,            UNNAMED,5615206.745057918,1656396.7320842012,25,-999
34843,Atlantic,AL031979,10/07/1979 00:00,            UNNAMED,5596304.320121406,1742481.4324393927,25,-999
34844,Atlantic,AL031979,10/07/1979 06:00,            UNNAMED,5599314.824903958,1822140.7165336944,25,-999
34845,Atlantic,AL031979,10/07/1979 12:00,            UNNAMED,5621539.845951442,1906157.2948635113,25,-999
34846,Atlantic,AL031979,10/07/1979 18:00,            UNNAMED,5628779.192599116,2009582.094671685,25,-999
34847,Atlantic,AL031979,11/07/1979 00:00,            UNNAMED,5621093.752124699,2132456.582552865,25,-999
34848,Atlantic,AL031979,11/07/1979 06:00,            UNNAMED,5613025.323572789,2255485.146342815,25,-999
34849,Atlantic,AL031979,11/07/1979 12:00,            UNNAMED,5637754.281909548,2363613.330604348,25,-999
34850,Atlantic,AL031979,11/07/1979 18:00,            UNNAMED,5699386.97296208,2561040.807805263,25,-999
34851,Atlantic,AL031979,12/07/1979 00:00,            UNNAMED,5766101.684113227,2726789.864714551,25,-999
34852,Atlantic,AL031979,12/07/1979 06:00,            UNNAMED,5874900.935196933,2870091.1981796967,25,-999
34859,Atlantic,AL041979,09/07/1979 12:00,                BOB,3116239.6987620853,1122010.7189757174,20,1012
34860,Atlantic,AL041979,09/07/1979 18:00,                BOB,3185512.602867407,1180213.0067815946,25,1010
34861,Atlantic,AL041979,10/07/1979 00:00,                BOB,3254232.3771482613,1238734.2236008984,30,1007
34862,Atlantic,AL041979,10/07/1979 06:00,                BOB,3332539.408895354,1298151.5135246906,35,1004
34863,Atlantic,AL041979,10/07/1979 12:00,                BOB,3410206.948242771,1357989.4051121445,50,998
34864,Atlantic,AL041979,10/07/1979 18:00,                BOB,3473450.638048267,1472531.1385398817,55,996
34865,Atlantic,AL041979,11/07/1979 00:00,                BOB,3533995.2704984727,1609407.1407484277,65,988
34866,Atlantic,AL041979,11/07/1979 06:00,                BOB,3570200.6044982867,1789235.982562311,65,991
34867,Atlantic,AL041979,11/07/1979 12:00,                BOB,3607771.162117486,1936421.5210652647,65,986
34868,Atlantic,AL041979,11/07/1979 18:00,                BOB,3629225.1538554104,2149708.839826195,40,992
34869,Atlantic,AL041979,12/07/1979 00:00,                BOB,3643780.6242502606,2318667.9069192214,30,998
34870,Atlantic,AL041979,12/07/1979 06:00,                BOB,3648256.942686396,2487574.034144966,25,1002
34885,Atlantic,AL041979,16/07/1979 00:00,                BOB,4870915.275773838,2649636.6518285377,20,1013
34886,Atlantic,AL041979,16/07/1979 06:00,                BOB,4945468.312628161,2606235.034278091,20,1013
34887,Atlantic,AL041979,16/07/1979 12:00,                BOB,5029742.904509411,2565100.662099314,20,1014
34889,Atlantic,AL051979,10/07/1979 12:00,            UNNAMED,4635516.536007572,2157752.147972309,20,-999
34890,Atlantic,AL051979,10/07/1979 18:00,            UNNAMED,4744986.412579546,2265328.9317168957,20,-999
34891,Atlantic,AL051979,11/07/1979 00:00,            UNNAMED,4863968.174506964,2364602.3103848365,25,-999
34892,Atlantic,AL051979,11/07/1979 06:00,            UNNAMED,4966579.244095784,2439652.19892511,25,-999
34893,Atlantic,AL051979,11/07/1979 12:00,            UNNAMED,5121662.019256982,2537368.1992707145,30,-999
34894,Atlantic,AL051979,11/07/1979 18:00,            UNNAMED,5251424.305468153,2563593.2885453124,30,-999
34895,Atlantic,AL051979,12/07/1979 00:00,            UNNAMED,5394923.94222316,2571273.271811678,30,-999
34896,Atlantic,AL051979,12/07/1979 06:00,            UNNAMED,5513279.253467837,2563310.8404544867,30,-999
34897,Atlantic,AL051979,12/07/1979 12:00,            UNNAMED,5626847.884323753,2578132.0904173693,30,-999
34898,Atlantic,AL051979,12/07/1979 18:00,            UNNAMED,5832682.678105773,2616843.493546735,30,-999
34899,Atlantic,AL051979,13/07/1979 00:00,            UNNAMED,6028870.151777703,2656289.9858091823,30,-999
34900,Atlantic,AL051979,13/07/1979 06:00,            UNNAMED,6218538.7275859285,2720097.367266698,30,-999
34901,Atlantic,AL051979,13/07/1979 12:00,            UNNAMED,6388883.3191611245,2781196.560215712,25,-999
34902,Atlantic,AL051979,13/07/1979 18:00,            UNNAMED,6574358.940986976,2919763.4179945556,20,-999
34909,Atlantic,AL061979,16/07/1979 18:00,          CLAUDETTE,7387497.5788492635,1301039.414030589,30,1011
34910,Atlantic,AL061979,17/07/1979 00:00,          CLAUDETTE,7197751.84494299,1296860.3280132047,30,1011
34911,Atlantic,AL061979,17/07/1979 06:00,          CLAUDETTE,7018754.151121075,1298227.126915548,30,1011
34912,Atlantic,AL061979,17/07/1979 12:00,          CLAUDETTE,6856866.802648383,1283563.5443677255,35,1011
34913,Atlantic,AL061979,17/07/1979 18:00,          CLAUDETTE,6667717.060228505,1251300.3800653375,40,1010
34914,Atlantic,AL061979,18/07/1979 00:00,          CLAUDETTE,6488640.866950215,1224259.1441753907,35,1010
34915,Atlantic,AL061979,18/07/1979 06:00,          CLAUDETTE,6322511.535789235,1191368.52902352,30,1011
34916,Atlantic,AL061979,18/07/1979 12:00,          CLAUDETTE,6156145.509442767,1160362.1754903202,30,1011
34917,Atlantic,AL061979,18/07/1979 18:00,          CLAUDETTE,5999821.496915726,1133677.9879875968,25,1012
34918,Atlantic,AL061979,19/07/1979 00:00,          CLAUDETTE,5892207.151459714,1131165.8091883024,20,1012
34919,Atlantic,AL061979,19/07/1979 06:00,          CLAUDETTE,5787135.902489291,1118652.5298904646,20,1012
34920,Atlantic,AL061979,19/07/1979 12:00,          CLAUDETTE,5694668.691310419,1098314.8437038863,20,1012
34921,Atlantic,AL061979,19/07/1979 18:00,          CLAUDETTE,5587253.377334351,1098018.5966349442,20,1012
34922,Atlantic,AL061979,20/07/1979 00:00,          CLAUDETTE,5494660.61858513,1078935.6303910855,20,1013
34923,Atlantic,AL061979,20/07/1979 06:00,          CLAUDETTE,5346216.133720463,1072091.4706826669,20,1013
34924,Atlantic,AL061979,20/07/1979 12:00,          CLAUDETTE,5134145.080748035,1066439.6493124827,20,1013
34925,Atlantic,AL061979,20/07/1979 18:00,          CLAUDETTE,4918904.001471522,1085586.198009833,20,1013
34926,Atlantic,AL061979,21/07/1979 00:00,          CLAUDETTE,4733879.312742282,1123370.4677814813,20,1013
34927,Atlantic,AL061979,21/07/1979 06:00,          CLAUDETTE,4536826.370297972,1183832.8065460124,25,1013
34928,Atlantic,AL061979,21/07/1979 12:00,          CLAUDETTE,4393943.297088124,1242456.6343913933,30,1012
34929,Atlantic,AL061979,21/07/1979 18:00,          CLAUDETTE,4232013.746681605,1300013.703036271,30,1010
34930,Atlantic,AL061979,22/07/1979 00:00,          CLAUDETTE,4071496.8843889926,1359346.991352031,30,1007
34931,Atlantic,AL061979,22/07/1979 06:00,          CLAUDETTE,3974976.8463557744,1404561.6028140408,30,1007
34932,Atlantic,AL061979,22/07/1979 12:00,          CLAUDETTE,3859012.9763812763,1448513.2483503737,30,1007
34933,Atlantic,AL061979,22/07/1979 18:00,          CLAUDETTE,3753814.778440639,1494273.4379794206,30,1006
34934,Atlantic,AL061979,23/07/1979 00:00,          CLAUDETTE,3650202.7147480072,1529825.7057374879,30,1005
