year,mun_id,max_dd
1993,101,23.0
1994,101,24.0
1995,101,16.0
1996,101,18.0
1997,101,25.0
1998,101,21.0
1999,101,20.0
2000,101,27.0
2001,101,21.0
2002,101,23.0
2003,101,24.0
2004,101,24.0
2005,101,15.0
2006,101,17.0
2007,101,18.0
2008,101,13.0
2009,101,21.0
2010,101,22.0
2011,101,15.0
2012,101,24.0
2013,101,17.0
2014,101,25.0
2015,101,23.0
2016,101,25.0
2017,101,17.0
2018,101,26.0
2019,101,24.0
2020,101,20.0
1993,102,23.0
1994,102,23.0
1995,102,15.0
1996,102,17.0
1997,102,25.0
1998,102,21.0
1999,102,19.0
2000,102,27.0
2001,102,21.0
2002,102,23.0
2003,102,24.0
2004,102,22.0
2005,102,14.0
2006,102,16.0
2007,102,18.0
2008,102,13.0
2009,102,21.0
2010,102,22.0
2011,102,15.0
2012,102,23.0
2013,102,16.0
2014,102,24.0
2015,102,22.0
2016,102,24.0
2017,102,15.0
2018,102,26.0
2019,102,24.0
2020,102,21.0
1993,103,22.0
1994,103,22.0
1995,103,14.0
1996,103,16.0
1997,103,25.0
1998,103,18.0
1999,103,16.0
2000,103,26.0
2001,103,20.0
2002,103,21.0
2003,103,21.0
2004,103,22.0
2005,103,14.0
2006,103,15.0
2007,103,19.0
2008,103,13.0
2009,103,20.0
2010,103,21.0
2011,103,15.0
2012,103,21.0
2013,103,15.0
2014,103,24.0
2015,103,21.0
2016,103,24.0
2017,103,15.0
2018,103,26.0
2019,103,23.0
2020,103,17.0
1993,104,27.0
1994,104,25.0
1995,104,23.0
1996,104,20.0
1997,104,27.0
1998,104,23.0
1999,104,25.0
2000,104,29.0
2001,104,26.0
2002,104,27.0
2003,104,27.0
2004,104,29.0
2005,104,20.0
2006,104,18.0
2007,104,20.0
2008,104,18.0
2009,104,27.0
2010,104,23.0
2011,104,23.0
2012,104,27.0
2013,104,23.0
2014,104,26.0
2015,104,28.0
2016,104,29.0
2017,104,22.0
2018,104,30.0
2019,104,29.0
2020,104,21.0
1993,105,23.0
1994,105,23.0
1995,105,19.0
1996,105,18.0
1997,105,25.0
1998,105,20.0
1999,105,22.0
2000,105,26.0
2001,105,23.0
2002,105,24.0
2003,105,24.0
2004,105,25.0
2005,105,16.0
